experiment_id,csv_file,model_type,hidden_size,num_layers,batch_size,learning_rate,epochs,mse,mae,rmse,train_months,test_month
61,CMSN2406,lstm,64,1,8,0.001,10,0.685674,0.639772,0.685674,['2024-12',,2025-08
62,CMSN2406,lstm,64,1,16,0.001,10,0.644192,0.600692,0.644192,['2024-12',,2025-08
63,CMSN2406,lstm,64,1,32,0.001,10,0.621934,0.578326,0.621934,['2024-12',,2025-08
64,CMSN2406,lstm,64,2,8,0.001,10,0.731155,0.682009,0.731155,['2024-12',,2025-08
65,CMSN2406,lstm,64,2,16,0.001,10,0.710699,0.663195,0.710699,['2024-12',,2025-08
66,CMSN2406,lstm,64,2,32,0.001,10,0.729326,0.686979,0.729326,['2024-12',,2025-08
67,CMSN2406,lstm,128,1,8,0.001,10,0.667737,0.622308,0.667737,['2024-12',,2025-08
68,CMSN2406,lstm,128,1,16,0.001,10,0.613823,0.571159,0.613823,['2024-12',,2025-08
69,CMSN2406,lstm,128,1,32,0.001,10,0.567251,0.523173,0.567251,['2024-12',,2025-08
70,CMSN2406,lstm,128,2,8,0.001,10,0.688071,0.636230,0.688071,['2024-12',,2025-08
71,CMSN2406,lstm,128,2,16,0.001,10,0.738607,0.689510,0.738607,['2024-12',,2025-08
72,CMSN2406,lstm,128,2,32,0.001,10,0.732010,0.689513,0.732010,['2024-12',,2025-08
73,CMSN2406,gru,32,1,8,0.001,10,0.572389,0.526245,0.572389,['2024-12',,2025-08
74,CMSN2406,gru,32,1,16,0.001,10,0.554433,0.508638,0.554433,['2024-12',,2025-08
75,CMSN2406,gru,32,1,32,0.001,10,0.556667,0.510490,0.556667,['2024-12',,2025-08
76,CMSN2406,gru,32,2,8,0.001,10,0.636957,0.590225,0.636957,['2024-12',,2025-08
77,CMSN2406,gru,32,2,16,0.001,10,0.575288,0.531094,0.575288,['2024-12',,2025-08
78,CMSN2406,gru,32,2,32,0.001,10,0.564505,0.521049,0.564505,['2024-12',,2025-08
79,CMSN2406,gru,64,1,8,0.001,10,0.573321,0.526544,0.573321,['2024-12',,2025-08
80,CMSN2406,gru,64,1,16,0.001,10,0.535792,0.488648,0.535792,['2024-12',,2025-08
81,CMSN2406,gru,64,1,32,0.001,10,0.523225,0.474767,0.523225,['2024-12',,2025-08
82,CMSN2406,gru,64,2,8,0.001,10,0.599868,0.554210,0.599868,['2024-12',,2025-08
83,CMSN2406,gru,64,2,16,0.001,10,0.554191,0.508995,0.554191,['2024-12',,2025-08
84,CMSN2406,gru,64,2,32,0.001,10,0.529599,0.484637,0.529599,['2024-12',,2025-08
85,CMSN2406,gru,128,1,8,0.001,10,0.529009,0.479942,0.529009,['2024-12',,2025-08
86,CMSN2406,gru,128,1,16,0.001,10,0.465455,0.408538,0.465455,['2024-12',,2025-08
87,CMSN2406,gru,128,1,32,0.001,10,0.488428,0.434451,0.488428,['2024-12',,2025-08
88,CMSN2406,gru,128,2,8,0.001,10,0.564988,0.518377,0.564988,['2024-12',,2025-08
89,CMSN2406,gru,128,2,16,0.001,10,0.524914,0.476778,0.524914,['2024-12',,2025-08
90,CMSN2406,gru,128,2,32,0.001,10,0.479356,0.425598,0.479356,['2024-12',,2025-08
91,CMSN2406,rnn,32,1,8,0.001,10,0.564111,0.521465,0.564111,['2024-12',,2025-08
92,CMSN2406,rnn,32,1,16,0.001,10,0.535547,0.492715,0.535547,['2024-12',,2025-08
93,CMSN2406,rnn,32,1,32,0.001,10,0.565345,0.524739,0.565345,['2024-12',,2025-08
94,CMSN2406,rnn,32,2,8,0.001,10,0.601935,0.554390,0.601935,['2024-12',,2025-08
95,CMSN2406,rnn,32,2,16,0.001,10,0.499229,0.452700,0.499229,['2024-12',,2025-08
96,CMSN2406,rnn,32,2,32,0.001,10,0.510258,0.467327,0.510258,['2024-12',,2025-08
97,CMSN2406,rnn,64,1,8,0.001,10,0.569305,0.522381,0.569305,['2024-12',,2025-08
98,CMSN2406,rnn,64,1,16,0.001,10,0.539065,0.492292,0.539065,['2024-12',,2025-08
99,CMSN2406,rnn,64,1,32,0.001,10,0.516022,0.469506,0.516022,['2024-12',,2025-08
