experiment_id,csv_file,model_type,hidden_size,num_layers,batch_size,learning_rate,epochs,window_size,mse,mae,rmse,train_months,test_month
32,CVRE2407,lstm,64,1,8,10,0.001,10,0.646632,0.537074,0.646632,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
33,CVRE2407,lstm,64,1,8,15,0.001,10,0.875191,0.806290,0.875191,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
34,CVRE2407,lstm,64,1,8,20,0.001,10,1.008422,0.949528,1.008422,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
35,CVRE2407,lstm,64,1,8,25,0.001,10,0.823910,0.753415,0.823910,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
36,CVRE2407,lstm,64,1,16,5,0.001,10,0.538480,0.427878,0.538480,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
37,CVRE2407,lstm,64,1,16,10,0.001,10,0.526741,0.404521,0.526741,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
38,CVRE2407,lstm,64,1,16,15,0.001,10,0.623688,0.518509,0.623688,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
39,CVRE2407,lstm,64,1,16,20,0.001,10,0.639002,0.529510,0.639002,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
40,CVRE2407,lstm,64,1,16,25,0.001,10,0.619592,0.509804,0.619592,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
41,CVRE2407,lstm,64,1,32,5,0.001,10,0.665531,0.585901,0.665531,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
42,CVRE2407,lstm,64,1,32,10,0.001,10,0.826444,0.760339,0.826444,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
43,CVRE2407,lstm,64,1,32,15,0.001,10,0.814202,0.750160,0.814202,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
44,CVRE2407,lstm,64,1,32,20,0.001,10,0.787701,0.720164,0.787701,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
45,CVRE2407,lstm,64,1,32,25,0.001,10,0.850662,0.788194,0.850662,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
46,CVRE2407,lstm,64,2,8,5,0.001,10,0.672285,0.549616,0.672285,2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07,2025-08
